No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,PrimaryType,SecondaryType,Ability1,Ability2,HiddenAbility,Generation,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary
111,Rhyhorn,rhyhorn,80,85,95,30,30,25,ground,rock,Lightning Rod,Rock Head,Reckless,1,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,1,115,120,50,2560,Slow,0,0
112,Rhydon,rhydon,105,130,120,45,45,40,ground,rock,Lightning Rod,Rock Head,Reckless,1,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,1.9,120,60,50,2560,Slow,0,0
113,Chansey,chansey,250,5,5,35,105,50,normal,,Natural Cure,Serene Grace,Healer,1,0,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.1,34.6,30,140,5120,Fast,0,0
114,Tangela,tangela,65,55,115,100,40,60,grass,,Chlorophyll,Leaf Guard,Regenerator,1,50.2,49.8,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,1,35,45,50,2560,Medium Fast,0,0
115,Kangaskhan,kangaskhan,105,95,80,40,80,90,normal,,Early Bird,Scrappy,Inner Focus,1,0,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2.2,80,45,50,2560,Medium Fast,1,0
116,Horsea,horsea,30,40,70,70,25,60,water,,Swift Swim,Sniper,Damp,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.4,8,225,50,2560,Medium Fast,0,0
117,Seadra,seadra,55,65,95,95,45,85,water,,Poison Point,Sniper,Damp,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.2,25,75,50,2560,Medium Fast,0,0
118,Goldeen,goldeen,45,67,60,35,50,63,water,,Swift Swim,Water Veil,Lightning Rod,1,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.6,15,225,50,2560,Medium Fast,0,0
119,Seaking,seaking,80,92,65,65,80,68,water,,Swift Swim,Water Veil,Lightning Rod,1,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.3,39,60,50,2560,Medium Fast,0,0
120,Staryu,staryu,30,45,55,70,55,85,water,,Illuminate,Natural Cure,Analytic,1,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.8,34.5,225,50,2560,Slow,0,0
121,Starmie,starmie,60,75,85,100,85,115,water,psychic,Illuminate,Natural Cure,Analytic,1,,,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.1,80,60,50,2560,Slow,0,0
122,Mr. Mime,mr.mime,40,45,65,100,120,90,psychic,fairy,Soundproof,Filter,Technician,1,50.2,49.8,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,1.4,56.8,45,50,3200,Medium Fast,0,0
123,Scyther,scyther,70,110,80,55,80,105,bug,flying,Swarm,Technician,Steadfast,1,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.5,56,45,50,3200,Medium Fast,0,0
124,Jynx,jynx,65,50,35,115,95,95,ice,psychic,Oblivious,Forewarn,Dry Skin,1,0,100,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,1.4,40.6,45,50,3200,Medium Fast,0,0
125,Electabuzz,electabuzz,65,83,57,95,85,105,electric,,Static,,Vital Spirit,1,75,25,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.1,30,45,50,3200,Medium Fast,0,0
126,Magmar,magmar,65,95,57,100,85,93,fire,,Flame Body,,Vital Spirit,1,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.3,44.5,45,50,3200,Medium Fast,0,0
127,Pinsir,pinsir,65,125,100,55,70,85,bug,,Hyper Cutter,Mold Breaker,Moxie,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,1.5,55,45,50,3200,Slow,1,0
128,Tauros,tauros,75,100,95,40,70,110,normal,,Intimidate,Anger Point,Sheer Force,1,100,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.4,115,45,50,2560,Slow,0,0
129,Magikarp,magikarp,20,10,55,15,20,80,water,,Swift Swim,,Rattled,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.9,10,255,50,640,Slow,0,0
130,Gyarados,gyarados,95,125,79,60,100,81,water,flying,Intimidate,,Moxie,1,50,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,6.5,235,45,50,640,Slow,1,0
131,Lapras,lapras,130,85,80,85,95,60,water,ice,Water Absorb,Shell Armor,Hydration,1,50,50,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,2.5,220,45,50,5120,Slow,0,0
132,Ditto,ditto,48,48,48,48,48,48,normal,,Limber,,Imposter,1,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,4,35,50,2560,Medium Fast,0,0
133,Eevee,eevee,55,55,50,45,65,55,normal,,Run Away,Adaptability,Anticipation,1,88,12,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,6.5,45,50,4480,Medium Fast,0,0
134,Vaporeon,vaporeon,130,65,60,110,95,65,water,,Water Absorb,,Hydration,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,29,45,50,4480,Medium Fast,0,0
135,Jolteon,jolteon,65,65,60,110,95,130,electric,,Volt Absorb,,Quick Feet,1,88,12,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.8,24.5,45,50,4480,Medium Fast,0,0
136,Flareon,flareon,65,130,60,95,110,65,fire,,Flash Fire,,Guts,1,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.9,25,45,50,4480,Medium Fast,0,0
137,Porygon,porygon,65,60,70,85,75,40,normal,,Trace,Download,Analytic,1,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.8,36.5,45,50,2560,Medium Fast,0,0
138,Omanyte,omanyte,35,40,100,90,55,35,rock,water,Swift Swim,Shell Armor,Weak Armor,1,88.14,11.86,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0.4,7.5,45,50,3840,Medium Fast,0,0
139,Omastar,omastar,70,60,125,115,70,55,rock,water,Swift Swim,Shell Armor,Weak Armor,1,88.14,11.86,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,1,35,45,50,3840,Medium Fast,0,0
140,Kabuto,kabuto,30,80,90,55,45,55,rock,water,Swift Swim,Battle Armor,Weak Armor,1,88.14,11.86,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0.5,11.5,45,50,3840,Medium Fast,0,0
141,Kabutops,kabutops,60,115,105,65,70,80,rock,water,Swift Swim,Battle Armor,Weak Armor,1,88.14,11.86,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,1.3,40.5,45,50,3840,Medium Fast,0,0
142,Aerodactyl,aerodactyl,80,105,65,60,75,130,rock,flying,Rock Head,Pressure,Unnerve,1,88.14,11.86,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,1.8,59,45,50,4480,Slow,1,0
143,Snorlax,snorlax,160,110,65,65,110,30,normal,,Immunity,Thick Fat,Gluttony,1,88,12,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2.1,460,25,50,5120,Slow,0,0
144,Articuno,articuno,90,85,100,95,125,85,ice,flying,Pressure,,Snow Cloak,1,,,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,1.7,50.9,3,35,10240,Slow,0,1
145,Zapdos,zapdos,90,90,85,125,90,100,electric,flying,Pressure,,Static,1,,,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1,1.6,58.2,3,35,10240,Slow,0,1
146,Moltres,moltres,90,100,90,125,85,90,fire,flying,Pressure,,Flame Body,1,,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,2,66,3,35,10240,Slow,0,1
147,Dratini,dratini,41,64,45,50,50,50,dragon,,Shed Skin,,Marvel Scale,1,50,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,1.8,3.3,45,35,5120,Slow,0,0
148,Dragonair,dragonair,61,84,65,70,70,70,dragon,,Shed Skin,,Marvel Scale,1,50,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,4,16.5,45,35,5120,Slow,0,0
149,Dragonite,dragonite,91,134,95,100,100,80,dragon,flying,Inner Focus,,Multiscale,1,50,50,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,2.2,210,45,35,5120,Slow,0,0
150,Mewtwo,mewtwo,106,110,90,154,90,130,psychic,,Pressure,,Unnerve,1,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,2,122,3,0,15360,Slow,1,1
151,Mew,mew,100,100,100,100,100,100,psychic,,Synchronize,,,1,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.4,4,45,100,15360,Medium Slow,0,1
152,Chikorita,chikorita,45,49,65,49,65,45,grass,,Overgrow,,Leaf Guard,2,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.9,6.4,45,50,2560,Medium Slow,0,0
153,Bayleef,bayleef,60,62,80,63,80,60,grass,,Overgrow,,Leaf Guard,2,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,1.2,15.8,45,50,2560,Medium Slow,0,0
154,Meganium,meganium,80,82,100,83,100,80,grass,,Overgrow,,Leaf Guard,2,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,1.8,100.5,45,50,2560,Medium Slow,0,0
155,Cyndaquil,cyndaquil,39,52,43,60,50,65,fire,,Blaze,,Flash Fire,2,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.5,7.9,45,50,2560,Medium Slow,0,0
156,Quilava,quilava,58,64,58,80,65,80,fire,,Blaze,,Flash Fire,2,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.9,19,45,50,2560,Medium Slow,0,0
157,Typhlosion,typhlosion,78,84,78,109,85,100,fire,,Blaze,,Flash Fire,2,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.7,79.5,45,50,2560,Medium Slow,0,0
158,Totodile,totodile,50,65,64,44,48,43,water,,Torrent,,Sheer Force,2,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.6,9.5,45,50,2560,Medium Slow,0,0
159,Croconaw,croconaw,65,80,80,59,63,58,water,,Torrent,,Sheer Force,2,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.1,25,45,50,2560,Medium Slow,0,0
160,Feraligatr,feraligatr,85,105,100,79,83,78,water,,Torrent,,Sheer Force,2,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,2.3,88.8,45,50,2560,Medium Slow,0,0
161,Sentret,sentret,35,46,34,35,45,20,normal,,Run Away,Keen Eye,Frisk,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.8,6,255,50,1920,Medium Fast,0,0
162,Furret,furret,85,76,64,45,55,90,normal,,Run Away,Keen Eye,Frisk,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.8,32.5,90,50,1920,Medium Fast,0,0
163,Hoothoot,hoothoot,60,30,30,36,56,50,normal,flying,Insomnia,Keen Eye,Tinted Lens,2,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.7,21.2,255,50,1920,Medium Fast,0,0
164,Noctowl,noctowl,100,50,50,86,96,70,normal,flying,Insomnia,Keen Eye,Tinted Lens,2,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.6,40.8,90,50,1920,Medium Fast,0,0
165,Ledyba,ledyba,40,20,30,40,80,55,bug,flying,Swarm,Early Bird,Rattled,2,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1,10.8,255,50,1920,Fast,0,0
166,Ledian,ledian,55,35,50,55,110,85,bug,flying,Swarm,Early Bird,Iron Fist,2,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.4,35.6,90,50,1920,Fast,0,0
167,Spinarak,spinarak,40,60,40,40,40,30,bug,poison,Swarm,Insomnia,Sniper,2,50,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.5,8.5,255,50,1920,Fast,0,0
168,Ariados,ariados,70,90,70,60,70,40,bug,poison,Swarm,Insomnia,Sniper,2,50,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1.1,33.5,90,50,1920,Fast,0,0
169,Crobat,crobat,85,90,80,70,80,130,poison,flying,Inner Focus,,Infiltrator,2,50.2,49.8,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,1.8,75,90,50,1920,Medium Fast,0,0
170,Chinchou,chinchou,75,38,38,56,56,67,water,electric,Volt Absorb,Illuminate,Water Absorb,2,50,50,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,0.5,12,190,50,2560,Slow,0,0
171,Lanturn,lanturn,125,58,58,76,76,67,water,electric,Volt Absorb,Illuminate,Water Absorb,2,50,50,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,1.2,22.5,75,50,2560,Slow,0,0
172,Pichu,pichu,20,40,15,35,35,60,electric,,Static,,Lightning Rod,2,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.3,2,190,50,1280,Medium Fast,0,0
173,Cleffa,cleffa,50,25,28,45,55,15,fairy,,Cute Charm,Magic Guard,Friend Guard,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.3,3,150,140,1280,Fast,0,0
174,Igglybuff,igglybuff,90,30,15,40,20,15,normal,fairy,Cute Charm,Competitive,Friend Guard,2,25,75,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.3,1,170,50,1280,Fast,0,0
175,Togepi,togepi,35,20,65,40,65,20,fairy,,Hustle,Serene Grace,Super Luck,2,88.14,11.86,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.3,1.5,190,50,1280,Fast,0,0
176,Togetic,togetic,55,40,85,80,105,40,fairy,flying,Hustle,Serene Grace,Super Luck,2,88.14,11.86,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,0.6,3.2,75,50,1280,Fast,0,0
177,Natu,natu,40,50,45,70,45,70,psychic,flying,Synchronize,Early Bird,Magic Bounce,2,50.2,49.8,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0.2,2,190,50,2560,Medium Fast,0,0
178,Xatu,xatu,65,75,70,95,70,95,psychic,flying,Synchronize,Early Bird,Magic Bounce,2,50.2,49.8,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,1.5,15,75,50,2560,Medium Fast,0,0
179,Mareep,mareep,55,40,40,65,45,35,electric,,Static,,Plus,2,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.6,7.8,235,50,2560,Medium Slow,0,0
180,Flaaffy,flaaffy,70,55,55,80,60,45,electric,,Static,,Plus,2,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.8,13.3,120,50,2560,Medium Slow,0,0
181,Ampharos,ampharos,90,75,85,115,90,55,electric,,Static,,Plus,2,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.4,61.5,45,50,2560,Medium Slow,1,0
182,Bellossom,bellossom,75,80,95,90,100,50,grass,,Chlorophyll,,Healer,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.4,5.8,45,50,2560,Medium Slow,0,0
183,Marill,marill,70,20,50,20,50,40,water,fairy,Thick Fat,Huge Power,Sap Sipper,2,50,50,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,0.4,8.5,190,50,1280,Fast,0,0
184,Azumarill,azumarill,100,50,80,60,80,50,water,fairy,Thick Fat,Huge Power,Sap Sipper,2,50,50,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,0.8,28.5,75,50,1280,Fast,0,0
185,Sudowoodo,sudowoodo,70,100,115,30,65,30,rock,,Sturdy,Rock Head,Rattled,2,50,50,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,1.2,38,65,50,2560,Medium Fast,0,0
186,Politoed,politoed,90,75,75,90,100,70,water,,Water Absorb,Damp,Drizzle,2,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.1,33.9,45,50,2560,Medium Slow,0,0
187,Hoppip,hoppip,35,35,40,35,55,50,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,2,50,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0.4,0.5,255,50,2560,Medium Slow,0,0
188,Skiploom,skiploom,55,45,50,45,65,80,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,2,50,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0.6,1,120,50,2560,Medium Slow,0,0
189,Jumpluff,jumpluff,75,55,70,55,95,110,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,2,50,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0.8,3,45,50,2560,Medium Slow,0,0
190,Aipom,aipom,55,70,55,40,55,85,normal,,Run Away,Pickup,Skill Link,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.8,11.5,45,50,2560,Fast,0,0
191,Sunkern,sunkern,30,30,30,30,30,30,grass,,Chlorophyll,Solar Power,Early Bird,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.3,1.8,235,50,2560,Medium Slow,0,0
192,Sunflora,sunflora,75,75,55,105,85,30,grass,,Chlorophyll,Solar Power,Early Bird,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.8,8.5,120,50,2560,Medium Slow,0,0
193,Yanma,yanma,65,65,45,75,45,95,bug,flying,Speed Boost,Compoundeyes,Frisk,2,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.2,38,75,50,2560,Medium Fast,0,0
194,Wooper,wooper,55,45,45,25,25,15,water,ground,Damp,Water Absorb,Unaware,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.4,11,255,50,2560,Medium Fast,0,0
195,Quagsire,quagsire,95,85,85,65,65,35,water,ground,Damp,Water Absorb,Unaware,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1.4,75,90,50,2560,Medium Fast,0,0
196,Espeon,espeon,65,65,60,130,95,110,psychic,,Synchronize,,Magic Bounce,2,88,12,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.9,26.5,45,50,4480,Medium Fast,0,0
197,Umbreon,umbreon,95,65,110,60,130,65,dark,,Synchronize,,Inner Focus,2,88,12,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,1,27,45,35,4480,Medium Fast,0,0
198,Murkrow,murkrow,60,85,42,85,42,91,dark,flying,Insomnia,Super Luck,Prankster,2,50,50,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0.5,2.1,30,35,2560,Medium Slow,0,0
199,Slowking,slowking,95,75,80,100,110,30,water,psychic,Oblivious,Own Tempo,Regenerator,2,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.8,79.5,70,50,2560,Medium Fast,0,0
200,Misdreavus,misdreavus,60,60,60,85,85,85,ghost,,Levitate,,,2,50,50,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0.7,1,45,35,3200,Fast,0,0
201,Unown,unown,48,72,48,72,48,48,psychic,,Levitate,,,2,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.5,5,225,50,5120,Medium Fast,0,0
202,Wobbuffet,wobbuffet,190,33,58,33,58,33,psychic,,Shadow Tag,,Telepathy,2,50.2,49.8,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.3,28.5,45,50,2560,Medium Fast,0,0
203,Girafarig,girafarig,70,80,65,90,65,85,normal,psychic,Inner Focus,Early Bird,Sap Sipper,2,50,50,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,1.5,41.5,60,50,2560,Medium Fast,0,0
204,Pineco,pineco,50,65,90,35,35,15,bug,,Sturdy,,Overcoat,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.6,7.2,190,50,2560,Medium Fast,0,0
205,Forretress,forretress,75,90,140,60,60,40,bug,steel,Sturdy,,Overcoat,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.2,125.8,75,50,2560,Medium Fast,0,0
206,Dunsparce,dunsparce,100,70,70,65,65,45,normal,,Serene Grace,Run Away,Rattled,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,14,190,50,2560,Medium Fast,0,0
207,Gligar,gligar,65,75,105,35,65,85,ground,flying,Hyper Cutter,Sand Veil,Immunity,2,50,50,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1.1,64.8,60,50,2560,Medium Slow,0,0
208,Steelix,steelix,75,85,200,55,65,30,steel,ground,Rock Head,Sturdy,Sheer Force,2,50.2,49.8,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,9.2,400,25,50,3200,Medium Fast,1,0
209,Snubbull,snubbull,60,80,50,40,40,30,fairy,,Intimidate,Run Away,Rattled,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.6,7.8,190,50,2560,Fast,0,0
210,Granbull,granbull,90,120,75,60,60,45,fairy,,Intimidate,Quick Feet,Rattled,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,1.4,48.7,75,50,2560,Fast,0,0
211,Qwilfish,qwilfish,65,95,85,55,55,85,water,poison,Poison Point,Swift Swim,Intimidate,2,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.5,3.9,45,50,2560,Medium Fast,0,0
212,Scizor,scizor,70,130,100,55,80,65,bug,steel,Swarm,Technician,Light Metal,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.8,118,25,50,3200,Medium Fast,1,0
213,Shuckle,shuckle,20,10,230,10,230,5,bug,rock,Sturdy,Gluttony,Contrary,2,50.2,49.8,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0.6,20.5,190,50,2560,Medium Slow,0,0
214,Heracross,heracross,80,125,75,40,95,85,bug,fighting,Swarm,Guts,Moxie,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1.5,54,45,50,3200,Slow,1,0
215,Sneasel,sneasel,55,95,55,35,75,115,dark,ice,Inner Focus,Keen Eye,Pickpocket,2,50,50,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0.9,28,60,35,2560,Medium Slow,0,0
216,Teddiursa,teddiursa,60,80,50,50,50,40,normal,,Pickup,Quick Feet,Honey Gather,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,8.8,120,50,2560,Medium Fast,0,0
217,Ursaring,ursaring,90,130,75,75,75,55,normal,,Guts,Quick Feet,Unnerve,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.8,125.8,60,50,2560,Medium Fast,0,0
218,Slugma,slugma,40,40,40,70,40,20,fire,,Magma Armor,Flame Body,Weak Armor,2,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,35,190,50,2560,Medium Fast,0,0
219,Magcargo,magcargo,60,50,120,90,80,30,fire,rock,Magma Armor,Flame Body,Weak Armor,2,50,50,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0.8,55,75,50,2560,Medium Fast,0,0
220,Swinub,swinub,50,50,40,30,30,50,ice,ground,Oblivious,Snow Cloak,Thick Fat,2,50,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.4,6.5,225,50,2560,Slow,0,0
221,Piloswine,piloswine,100,100,80,60,60,50,ice,ground,Oblivious,Snow Cloak,Thick Fat,2,50,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,1.1,55.8,75,50,2560,Slow,0,0
222,Corsola,corsola,65,55,95,65,95,35,water,rock,Hustle,Natural Cure,Regenerator,2,24.9,75.1,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,0.6,0.5,60,50,2560,Fast,0,0
223,Remoraid,remoraid,35,65,35,65,35,65,water,,Hustle,Sniper,Moody,2,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.6,12,190,50,2560,Medium Fast,0,0
224,Octillery,octillery,75,105,75,105,75,45,water,,Suction Cups,Sniper,Moody,2,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.9,28.5,75,50,2560,Medium Fast,0,0
225,Delibird,delibird,45,55,45,65,45,75,ice,flying,Vital Spirit,Hustle,Insomnia,2,50,50,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,0.9,16,45,50,2560,Fast,0,0
