UniqeIdentifier,No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
191sunkernEarly Bird2,191,Sunkern,sunkern,30,30,30,30,30,30,60,60,90,60,60,grass,,Early Bird,3,Status Affected,No,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.3,1.8,235,50,2560,Medium Slow,0,0,0,0
192sunfloraChlorophyll2,192,Sunflora,sunflora,75,75,55,105,85,30,105,135,215,130,190,grass,,Chlorophyll,3,Stats Affected,Yes,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.8,8.5,120,50,2560,Medium Slow,0,0,1,0
192sunfloraSolar Power2,192,Sunflora,sunflora,75,75,55,105,85,30,105,135,215,130,190,grass,,Solar Power,4,Stats Affected,Yes,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.8,8.5,120,50,2560,Medium Slow,0,0,1,0
192sunfloraEarly Bird2,192,Sunflora,sunflora,75,75,55,105,85,30,105,135,215,130,190,grass,,Early Bird,3,Status Affected,No,2,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.8,8.5,120,50,2560,Medium Slow,0,0,1,0
193yanmaSpeed Boost2,193,Yanma,yanma,65,65,45,75,45,95,160,170,155,110,120,bug,flying,Speed Boost,3,Stats Affected,No,2,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.2,38,75,50,2560,Medium Fast,0,0,0,0
193yanmaCompound Eyes2,193,Yanma,yanma,65,65,45,75,45,95,160,170,155,110,120,bug,flying,Compound Eyes,3,Stats Affected,No,2,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.2,38,75,50,2560,Medium Fast,0,0,0,0
193yanmaFrisk2,193,Yanma,yanma,65,65,45,75,45,95,160,170,155,110,120,bug,flying,Frisk,4,Item Interaction,No,2,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.2,38,75,50,2560,Medium Fast,0,0,0,0
194wooperDamp2,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,water,ground,Damp,3,Miscellaneous,Yes,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.4,11,255,50,2560,Medium Fast,0,0,0,0
194wooperWater Absorb2,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,water,ground,Water Absorb,3,Healing,Yes,2,50,50,1,0.5,0,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.4,11,255,50,2560,Medium Fast,0,0,0,0
194wooperUnaware2,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,water,ground,Unaware,4,Stats Affected,Yes,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.4,11,255,50,2560,Medium Fast,0,0,0,0
194wooperPoison Point9,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,poison,ground,Poison Point,3,Status Affected,No,9,50,50,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0.4,11,255,50,2560,Medium Fast,0,0,0,1
194wooperWater Absorb9,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,poison,ground,Water Absorb,3,Healing,Yes,9,50,50,1,1,0,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0.4,11,255,50,2560,Medium Fast,0,0,0,1
194wooperUnaware9,194,Wooper,wooper,55,45,45,25,25,15,60,40,125,90,50,poison,ground,Unaware,4,Stats Affected,Yes,9,50,50,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0.4,11,255,50,2560,Medium Fast,0,0,0,1
195quagsireDamp2,195,Quagsire,quagsire,95,85,85,65,65,35,120,100,245,170,130,water,ground,Damp,3,Miscellaneous,Yes,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1.4,75,90,50,2560,Medium Fast,0,0,1,0
195quagsireWater Absorb2,195,Quagsire,quagsire,95,85,85,65,65,35,120,100,245,170,130,water,ground,Water Absorb,3,Healing,Yes,2,50,50,1,0.5,0,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1.4,75,90,50,2560,Medium Fast,0,0,1,0
195quagsireUnaware2,195,Quagsire,quagsire,95,85,85,65,65,35,120,100,245,170,130,water,ground,Unaware,4,Stats Affected,Yes,2,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1.4,75,90,50,2560,Medium Fast,0,0,1,0
196espeonSynchronize2,196,Espeon,espeon,65,65,60,130,95,110,175,240,220,125,225,psychic,,Synchronize,3,Status Affected,No,2,88,12,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.9,26.5,45,50,4480,Medium Fast,0,0,1,0
196espeonMagic Bounce2,196,Espeon,espeon,65,65,60,130,95,110,175,240,220,125,225,psychic,,Magic Bounce,5,Miscellaneous,Yes,2,88,12,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.9,26.5,45,50,4480,Medium Fast,0,0,1,0
197umbreonSynchronize2,197,Umbreon,umbreon,95,65,110,60,130,65,130,125,335,175,190,dark,,Synchronize,3,Status Affected,No,2,88,12,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,1,27,45,35,4480,Medium Fast,0,0,1,0
197umbreonInner Focus2,197,Umbreon,umbreon,95,65,110,60,130,65,130,125,335,175,190,dark,,Inner Focus,3,Miscellaneous,Yes,2,88,12,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,1,27,45,35,4480,Medium Fast,0,0,1,0
198murkrowInsomnia2,198,Murkrow,murkrow,60,85,42,85,42,91,176,176,144,127,127,dark,flying,Insomnia,3,Damage Modification,Yes,2,50,50,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0.5,2.1,30,35,2560,Medium Slow,0,0,0,0
198murkrowSuper Luck2,198,Murkrow,murkrow,60,85,42,85,42,91,176,176,144,127,127,dark,flying,Super Luck,4,Critical Hit Interaction,No,2,50,50,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0.5,2.1,30,35,2560,Medium Slow,0,0,0,0
198murkrowPrankster2,198,Murkrow,murkrow,60,85,42,85,42,91,176,176,144,127,127,dark,flying,Prankster,5,Status Affected,No,2,50,50,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0.5,2.1,30,35,2560,Medium Slow,0,0,0,0
199slowkingOblivious2,199,Slowking,slowking,95,75,80,100,110,30,105,130,285,155,210,water,psychic,Oblivious,3,Damage Modification,Yes,2,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.8,79.5,70,50,2560,Medium Fast,0,0,1,0
199slowkingOwn Tempo2,199,Slowking,slowking,95,75,80,100,110,30,105,130,285,155,210,water,psychic,Own Tempo,3,Damage Modification,Yes,2,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.8,79.5,70,50,2560,Medium Fast,0,0,1,0
199slowkingRegenerator2,199,Slowking,slowking,95,75,80,100,110,30,105,130,285,155,210,water,psychic,Regenerator,5,Healing,Yes,2,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.8,79.5,70,50,2560,Medium Fast,0,0,1,0
199slowkingCurious Medicine8,199,Slowking,slowking,95,65,80,110,110,30,95,140,285,145,220,psychic,poison,Curious Medicine,8,Stats Affected,Yes,8,50,50,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5,1.8,79.5,70,50,2560,Medium Fast,0,0,1,1
199slowkingOwn Tempo8,199,Slowking,slowking,95,65,80,110,110,30,95,140,285,145,220,psychic,poison,Own Tempo,3,Damage Modification,Yes,8,50,50,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5,1.8,79.5,70,50,2560,Medium Fast,0,0,1,1
199slowkingRegenerator8,199,Slowking,slowking,95,65,80,110,110,30,95,140,285,145,220,psychic,poison,Regenerator,5,Healing,Yes,8,50,50,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5,1.8,79.5,70,50,2560,Medium Fast,0,0,1,1
200misdreavusLevitate2,200,Misdreavus,misdreavus,60,60,60,85,85,85,145,170,205,120,170,ghost,,Levitate,3,Type Advantage and Manipulation,No,2,50,50,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1,0.7,1,45,35,3200,Fast,0,0,0,0
201unownLevitate2,201,Unown,unown,48,72,48,72,48,48,120,120,144,120,120,psychic,,Levitate,3,Type Advantage and Manipulation,No,2,0,0,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1,0.5,5,225,50,5120,Medium Fast,0,0,1,0
202wobbuffetShadow Tag2,202,Wobbuffet,wobbuffet,190,33,58,33,58,33,66,66,306,91,91,psychic,,Shadow Tag,3,Damage Modification,Yes,2,50.2,49.8,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.3,28.5,45,50,2560,Medium Fast,0,0,1,0
202wobbuffetTelepathy2,202,Wobbuffet,wobbuffet,190,33,58,33,58,33,66,66,306,91,91,psychic,,Telepathy,5,Miscellaneous,No,2,50.2,49.8,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.3,28.5,45,50,2560,Medium Fast,0,0,1,0
203girafarigInner Focus2,203,Girafarig,girafarig,70,80,65,90,65,85,165,175,200,145,155,normal,psychic,Inner Focus,3,Miscellaneous,Yes,2,50,50,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,1.5,41.5,60,50,2560,Medium Fast,0,0,0,0
203girafarigEarly Bird2,203,Girafarig,girafarig,70,80,65,90,65,85,165,175,200,145,155,normal,psychic,Early Bird,3,Status Affected,No,2,50,50,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,1.5,41.5,60,50,2560,Medium Fast,0,0,0,0
203girafarigSap Sipper2,203,Girafarig,girafarig,70,80,65,90,65,85,165,175,200,145,155,normal,psychic,Sap Sipper,5,Conditional Power Boosts,Yes,2,50,50,1,1,1,1,0,1,1,1,1,1,0.5,2,1,0,1,2,1,1,1.5,41.5,60,50,2560,Medium Fast,0,0,0,0
204pinecoSturdy2,204,Pineco,pineco,50,65,90,35,35,15,80,50,175,155,70,bug,,Sturdy,3,Damage Modification,No,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.6,7.2,190,50,2560,Medium Fast,0,0,0,0
204pinecoOvercoat2,204,Pineco,pineco,50,65,90,35,35,15,80,50,175,155,70,bug,,Overcoat,5,Weather,No,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.6,7.2,190,50,2560,Medium Fast,0,0,0,0
205forretressSturdy2,205,Forretress,forretress,75,90,140,60,60,40,130,100,275,230,120,bug,steel,Sturdy,3,Damage Modification,No,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.2,125.8,75,50,2560,Medium Fast,0,0,1,0
205forretressOvercoat2,205,Forretress,forretress,75,90,140,60,60,40,130,100,275,230,120,bug,steel,Overcoat,5,Weather,No,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.2,125.8,75,50,2560,Medium Fast,0,0,1,0
206dunsparceSerene Grace2,206,Dunsparce,dunsparce,100,70,70,65,65,45,115,110,235,140,130,normal,,Serene Grace,3,Conditional Power Boosts,Yes,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,14,190,50,2560,Medium Fast,0,0,0,0
206dunsparceRun Away2,206,Dunsparce,dunsparce,100,70,70,65,65,45,115,110,235,140,130,normal,,Run Away,3,Miscellaneous,No,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,14,190,50,2560,Medium Fast,0,0,0,0
206dunsparceRattled2,206,Dunsparce,dunsparce,100,70,70,65,65,45,115,110,235,140,130,normal,,Rattled,5,Stats Affected,No,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,14,190,50,2560,Medium Fast,0,0,0,0
207gligarHyper Cutter2,207,Gligar,gligar,65,75,105,35,65,85,160,120,235,180,100,ground,flying,Hyper Cutter,3,Stats Affected,Yes,2,50,50,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1.1,64.8,60,50,2560,Medium Slow,0,0,0,0
207gligarSand Veil2,207,Gligar,gligar,65,75,105,35,65,85,160,120,235,180,100,ground,flying,Sand Veil,3,Weather,Yes,2,50,50,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1.1,64.8,60,50,2560,Medium Slow,0,0,0,0
207gligarImmunity2,207,Gligar,gligar,65,75,105,35,65,85,160,120,235,180,100,ground,flying,Immunity,3,Status Affected,Yes,2,50,50,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1.1,64.8,60,50,2560,Medium Slow,0,0,0,0
208steelixRock Head2,208,Steelix,steelix,75,85,200,55,65,30,115,85,340,285,120,steel,ground,Rock Head,3,Damage Modification,No,2,50.2,49.8,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,9.2,400,25,50,3200,Medium Fast,1,0,1,0
208steelixSturdy2,208,Steelix,steelix,75,85,200,55,65,30,115,85,340,285,120,steel,ground,Sturdy,3,Damage Modification,No,2,50.2,49.8,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,9.2,400,25,50,3200,Medium Fast,1,0,1,0
208steelixSheer Force2,208,Steelix,steelix,75,85,200,55,65,30,115,85,340,285,120,steel,ground,Sheer Force,5,Stats Affected,Yes,2,50.2,49.8,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,9.2,400,25,50,3200,Medium Fast,1,0,1,0
209snubbullIntimidate2,209,Snubbull,snubbull,60,80,50,40,40,30,110,70,150,130,80,fairy,,Intimidate,3,Stats Affected,No,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.6,7.8,190,50,2560,Fast,0,0,0,0
209snubbullRun Away2,209,Snubbull,snubbull,60,80,50,40,40,30,110,70,150,130,80,fairy,,Run Away,3,Miscellaneous,No,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.6,7.8,190,50,2560,Fast,0,0,0,0
209snubbullRattled2,209,Snubbull,snubbull,60,80,50,40,40,30,110,70,150,130,80,fairy,,Rattled,5,Stats Affected,No,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0.6,7.8,190,50,2560,Fast,0,0,0,0
210granbullIntimidate2,210,Granbull,granbull,90,120,75,60,60,45,165,105,225,195,120,fairy,,Intimidate,3,Stats Affected,No,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,1.4,48.7,75,50,2560,Fast,0,0,1,0
210granbullQuick Feet2,210,Granbull,granbull,90,120,75,60,60,45,165,105,225,195,120,fairy,,Quick Feet,4,Stats Affected,Yes,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,1.4,48.7,75,50,2560,Fast,0,0,1,0
210granbullRattled2,210,Granbull,granbull,90,120,75,60,60,45,165,105,225,195,120,fairy,,Rattled,5,Stats Affected,No,2,25,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,1.4,48.7,75,50,2560,Fast,0,0,1,0
211qwilfishPoison Point2,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,water,poison,Poison Point,3,Status Affected,No,2,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.5,3.9,45,50,2560,Medium Fast,0,0,1,0
211qwilfishSwift Swim2,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,water,poison,Swift Swim,3,Stats Affected,Yes,2,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.5,3.9,45,50,2560,Medium Fast,0,0,1,0
211qwilfishIntimidate2,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,water,poison,Intimidate,3,Stats Affected,No,2,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.5,3.9,45,50,2560,Medium Fast,0,0,1,0
211qwilfishPoison Point8,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,dark,poison,Poison Point,3,Status Affected,No,8,50,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0.5,3.9,45,50,2560,Medium Fast,0,0,1,1
211qwilfishSwift Swim8,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,dark,poison,Swift Swim,3,Stats Affected,Yes,8,50,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0.5,3.9,45,50,2560,Medium Fast,0,0,1,1
211qwilfishIntimidate8,211,Qwilfish,qwilfish,65,95,85,55,55,85,180,140,205,180,110,dark,poison,Intimidate,3,Stats Affected,No,8,50,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0.5,3.9,45,50,2560,Medium Fast,0,0,1,1
212scizorSwarm2,212,Scizor,scizor,70,130,100,55,80,65,195,120,250,230,135,bug,steel,Swarm,3,Conditional Power Boosts,Yes,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.8,118,25,50,3200,Medium Fast,1,0,1,0
212scizorTechnician2,212,Scizor,scizor,70,130,100,55,80,65,195,120,250,230,135,bug,steel,Technician,4,Conditional Power Boosts,No,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.8,118,25,50,3200,Medium Fast,1,0,1,0
212scizorLight Metal2,212,Scizor,scizor,70,130,100,55,80,65,195,120,250,230,135,bug,steel,Light Metal,5,Miscellaneous,No,2,50,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1.8,118,25,50,3200,Medium Fast,1,0,1,0
213shuckleSturdy2,213,Shuckle,shuckle,20,10,230,10,230,5,15,15,480,240,240,bug,rock,Sturdy,3,Damage Modification,No,2,50.2,49.8,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0.6,20.5,190,50,2560,Medium Slow,0,0,1,0
213shuckleGluttony2,213,Shuckle,shuckle,20,10,230,10,230,5,15,15,480,240,240,bug,rock,Gluttony,4,Miscellaneous,No,2,50.2,49.8,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0.6,20.5,190,50,2560,Medium Slow,0,0,1,0
213shuckleContrary2,213,Shuckle,shuckle,20,10,230,10,230,5,15,15,480,240,240,bug,rock,Contrary,5,Stats Affected,No,2,50.2,49.8,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0.6,20.5,190,50,2560,Medium Slow,0,0,1,0
214heracrossSwarm2,214,Heracross,heracross,80,125,75,40,95,85,210,125,250,200,135,bug,fighting,Swarm,3,Conditional Power Boosts,Yes,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1.5,54,45,50,3200,Slow,1,0,1,0
214heracrossGuts2,214,Heracross,heracross,80,125,75,40,95,85,210,125,250,200,135,bug,fighting,Guts,3,Conditional Power Boosts,Yes,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1.5,54,45,50,3200,Slow,1,0,1,0
214heracrossMoxie2,214,Heracross,heracross,80,125,75,40,95,85,210,125,250,200,135,bug,fighting,Moxie,5,Conditional Power Boosts,Yes,2,50,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,1.5,54,45,50,3200,Slow,1,0,1,0
215sneaselInner Focus2,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,dark,ice,Inner Focus,3,Miscellaneous,Yes,2,50,50,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0.9,28,60,35,2560,Medium Slow,0,0,0,0
215sneaselKeen Eye2,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,dark,ice,Keen Eye,3,Damage Modification,Yes,2,50,50,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0.9,28,60,35,2560,Medium Slow,0,0,0,0
215sneaselPickpocket2,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,dark,ice,Pickpocket,5,Item Interaction,Yes,2,50,50,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0.9,28,60,35,2560,Medium Slow,0,0,0,0
215sneaselInner Focus8,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,fighting,poison,Inner Focus,3,Miscellaneous,Yes,8,50,50,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0.9,27,60,35,2560,Medium Slow,0,0,0,1
215sneaselKeen Eye8,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,fighting,poison,Keen Eye,3,Damage Modification,Yes,8,50,50,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0.9,27,60,35,2560,Medium Slow,0,0,0,1
215sneaselPickpocket8,215,Sneasel,sneasel,55,95,55,35,75,115,210,150,185,150,110,fighting,poison,Pickpocket,5,Item Interaction,Yes,8,50,50,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0.9,27,60,35,2560,Medium Slow,0,0,0,1
216teddiursaPickup2,216,Teddiursa,teddiursa,60,80,50,50,50,40,120,90,160,130,100,normal,,Pickup,3,Miscellaneous,No,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,8.8,120,50,2560,Medium Fast,0,0,0,0
216teddiursaQuick Feet2,216,Teddiursa,teddiursa,60,80,50,50,50,40,120,90,160,130,100,normal,,Quick Feet,4,Stats Affected,Yes,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,8.8,120,50,2560,Medium Fast,0,0,0,0
216teddiursaHoney Gather2,216,Teddiursa,teddiursa,60,80,50,50,50,40,120,90,160,130,100,normal,,Honey Gather,4,Miscellaneous,No,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,8.8,120,50,2560,Medium Fast,0,0,0,0
217ursaringGuts2,217,Ursaring,ursaring,90,130,75,75,75,55,185,130,240,205,150,normal,,Guts,3,Conditional Power Boosts,Yes,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.8,125.8,60,50,2560,Medium Fast,0,0,0,0
217ursaringQuick Feet2,217,Ursaring,ursaring,90,130,75,75,75,55,185,130,240,205,150,normal,,Quick Feet,4,Stats Affected,Yes,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.8,125.8,60,50,2560,Medium Fast,0,0,0,0
217ursaringUnnerve2,217,Ursaring,ursaring,90,130,75,75,75,55,185,130,240,205,150,normal,,Unnerve,5,Miscellaneous,No,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.8,125.8,60,50,2560,Medium Fast,0,0,0,0
218slugmaMagma Armor2,218,Slugma,slugma,40,40,40,70,40,20,60,90,120,80,110,fire,,Magma Armor,3,Damage Modification,Yes,2,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,35,190,50,2560,Medium Fast,0,0,0,0
218slugmaFlame Body2,218,Slugma,slugma,40,40,40,70,40,20,60,90,120,80,110,fire,,Flame Body,3,Status Affected,No,2,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,35,190,50,2560,Medium Fast,0,0,0,0
218slugmaWeak Armor2,218,Slugma,slugma,40,40,40,70,40,20,60,90,120,80,110,fire,,Weak Armor,5,Stats Affected,No,2,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,35,190,50,2560,Medium Fast,0,0,0,0
219magcargoMagma Armor2,219,Magcargo,magcargo,60,50,120,90,80,30,80,120,260,170,170,fire,rock,Magma Armor,3,Damage Modification,Yes,2,50,50,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0.8,55,75,50,2560,Medium Fast,0,0,1,0
219magcargoFlame Body2,219,Magcargo,magcargo,60,50,120,90,80,30,80,120,260,170,170,fire,rock,Flame Body,3,Status Affected,No,2,50,50,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0.8,55,75,50,2560,Medium Fast,0,0,1,0
219magcargoWeak Armor2,219,Magcargo,magcargo,60,50,120,90,80,30,80,120,260,170,170,fire,rock,Weak Armor,5,Stats Affected,No,2,50,50,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0.8,55,75,50,2560,Medium Fast,0,0,1,0
220swinubOblivious2,220,Swinub,swinub,50,50,40,30,30,50,100,80,120,90,60,ice,ground,Oblivious,3,Damage Modification,Yes,2,50,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.4,6.5,225,50,2560,Slow,0,0,0,0
220swinubSnow Cloak2,220,Swinub,swinub,50,50,40,30,30,50,100,80,120,90,60,ice,ground,Snow Cloak,4,Stats Affected,Yes,2,50,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.4,6.5,225,50,2560,Slow,0,0,0,0
220swinubThick Fat2,220,Swinub,swinub,50,50,40,30,30,50,100,80,120,90,60,ice,ground,Thick Fat,3,Type Advantage and Manipulation,No,2,50,50,1,0.5,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0.4,6.5,225,50,2560,Slow,0,0,0,0
